Piloto,Volta,Distancia_Volta,Track_X,Track_Y,Velocidade_KMH,Engine_RPM,ICE_Temp_Celsius,Brake_Temp_Celsius
MCL-Lando,1,10.0,100.3315306861278,0.8628366850132707,278.721798499618,13502.235052363096,102.90070675905544,389.2029681905953
MCL-Lando,1,20.0,99.92274534271839,1.1280115626749936,282.1153030370372,13300.188897919312,102.51145093649265,419.4730319635886
MCL-Lando,1,30.0,99.4709646798416,1.492434808494306,277.20504785619556,13688.492211912906,102.50993682760641,381.50695745387964
MCL-Lando,1,40.0,99.61499513522259,2.384439057252774,276.9693220117893,13442.105102047792,101.58285448984957,392.4478153114848
MCL-Lando,1,50.0,100.23924825393362,2.8616890942926245,280.3079510231467,13516.997210414413,100.77923966423829,392.8178027746347
MCL-Lando,1,60.0,99.59962069651658,3.6700619053277848,282.8449396712083,13403.144486013889,102.38741922493156,381.8024477323134
MCL-Lando,1,70.0,99.78791067562845,3.896289006825886,280.89670699100765,13314.567605048109,102.88045496742458,404.5136444875069
MCL-Lando,1,80.0,100.09998182000088,4.753432507758329,278.00645560473987,13565.816001788698,102.7349879891997,400.644986333993
MCL-Lando,1,90.0,99.1122599741969,4.585971107147835,277.15869782072684,13683.498465283517,100.99968689909679,411.3234280531599
MCL-Lando,1,100.0,99.67221484188667,5.3627979987030105,284.34378141973224,13685.29131693896,102.99842088518025,387.82007117023284
MCL-Lando,1,110.0,99.66755673132742,6.120710282711956,282.87417662603224,13523.067966525765,102.37264313324583,380.27880251383374
MCL-Lando,1,120.0,99.36787785238657,6.487185344345276,277.8136439847553,13379.79461001143,102.68601784362893,400.9850341388747
MCL-Lando,1,130.0,99.35536776172832,7.497358163510694,281.2590421928846,13376.609477183554,103.19818603671219,402.92504306671293
MCL-Lando,1,140.0,98.55230722642364,7.153446426911752,283.53972049038003,13387.936129350539,102.49026490115517,398.91588392762077
MCL-Lando,1,150.0,99.01415036120427,7.955292237737471,275.11440762494976,13521.544262211988,101.07370575582439,418.92146341300713
MCL-Lando,1,160.0,98.32443828147801,8.16678030105639,275.4656053585744,13536.802799448,102.6922185593817,387.3912657570392
MCL-Lando,1,170.0,98.17564537178474,8.83989644837238,275.0864534574401,13577.506290928372,102.4103512604203,400.89022059080963
MCL-Lando,1,180.0,98.21076145414146,9.343551373866548,276.05990052509793,13690.540415382002,101.77084642916043,386.5372598523275
MCL-Lando,1,180.0,98.21076145414146,9.343551373866548,276.05990052509793,13690.540415382002,101.77084642916043,386.5372598523275
